Fund Allocator ID,fill_rate
Affdff0,1.0
A84711b,1.0
A2cf5a1,1.0
A2ce6c1,1.0
A000c43,1.0
A7d911d,1.0
A2b1837,1.0
A7e6207,1.0
A7ed594,1.0
A825f85,1.0
A83c2dd,1.0
A2a38e9,1.0
A8567d1,1.0
A79043d,1.0
A86b250,1.0
A28d8b6,1.0
A8bb104,1.0
Aa5a4bb,1.0
A2799f7,1.0
Aa76711,1.0
Aa98e63,1.0
A23dda7,1.0
A229eeb,1.0
A471573,1.0
A7b4ffd,1.0
A75eb76,1.0
Ab7dccf,1.0
A666ff0,1.0
A4e3f9d,1.0
A4ff743,1.0
A43502d,1.0
A433d90,1.0
A5479e2,1.0
A557ea2,1.0
A41676f,1.0
A56ea14,1.0
A639c17,1.0
A6557da,1.0
A3e5704,1.0
A31bf6d,1.0
A6a2745,1.0
A3cde4b,1.0
A6c91e2,1.0
A6e9d21,1.0
A3bf5bd,1.0
A6f42ff,1.0
A394dd9,1.0
A36cf78,1.0
A355e2c,1.0
A722c06,1.0
Ab7a076,1.0
Ab781b9,1.0
Ab7e680,1.0
Ae5aac1,1.0
Adc57d5,1.0
Abac9c0,1.0
Ae2a183,1.0
A13b1e6,1.0
Ae2ca7f,1.0
A11f7a2,1.0
A11730c,1.0
A115be1,1.0
A1137b9,1.0
Ae4f50d,1.0
Ae67360,1.0
Ad6af15,1.0
A0d0dd8,1.0
Ae848ec,1.0
Aeedb32,1.0
Af16116,1.0
A092704,1.0
Af75e33,1.0
Af8d59f,1.0
Af8dafa,1.0
A06c397,1.0
Afa85c1,1.0
Ada12ca,1.0
Adeb96a,1.0
Ad1a396,1.0
A1e03e2,1.0
Ac15ed6,1.0
A208478,1.0
A1fd1d1,1.0
A1f6229,1.0
A1f3d5e,1.0
A1ecf04,1.0
A1ea2a3,1.0
Ac16b86,1.0
Ac6e10f,1.0
A48791b,1.0
Ac71115,1.0
Acff5f3,1.0
A18cb9a,1.0
Ad18ba4,1.0
A1cecbf,1.0
Ad0fa4d,1.0
Ace52ab,1.0
Accb8dc,1.0
Ab560d4,0.9989035087719298
A396ea8,0.9984756097560976
Ac1eb23,0.9984756097560976
Afc4e50,0.9983905579399142
A16c87d,0.9982598607888631
A6a1271,0.9982057416267942
A43c056,0.9981263383297645
Ae1ec02,0.998070987654321
A1f001f,0.9975530179445351
A4e71f3,0.9975490196078431
94148b,0.9973958333333334
Af5fed4,0.9973290598290598
A51255c,0.9972118959107807
Ade1748,0.9971590909090909
Ad8891c,0.9969512195121951
Aabfb4f,0.9961180124223603
A1cae97,0.9960526315789473
A1e32ac,0.9957627118644068
A6f76d1,0.9956896551724138
A4e4547,0.9955357142857143
A429e54,0.9954427083333333
A681b8b,0.9953703703703703
A72c0d9,0.995
A06207a,0.995
A6bfae0,0.9947916666666667
A1e1987,0.9945054945054945
A4081d6,0.9943353474320241
A8244d8,0.9941666666666666
A9b3aeb,0.9940476190476191
A4c5dcd,0.9939320388349515
A67b879,0.993421052631579
Ae27857,0.9930555555555556
Ae4d75e,0.9929245283018868
A6019fe,0.9926778242677824
Af08fa6,0.9926108374384237
A7dba47,0.9924242424242424
Ab5e21c,0.992226368159204
A85406a,0.9921602787456446
A14ab79,0.9920634920634921
A5a0710,0.9917624521072796
A479270,0.9914383561643836
Ae1bc14,0.9910714285714286
A40c919,0.9910714285714286
Afd067a,0.9908129175946547
Abacebf,0.9905427631578947
Af289f4,0.9901226158038148
A8cdb70,0.9900793650793651
A97e381,0.9896788990825689
Abb96b2,0.9896551724137931
A51d5e4,0.9894822006472492
Ad1697b,0.98943345323741
A0a0599,0.9890350877192983
Ac33ef9,0.9888888888888889
A51cf14,0.9887218045112782
Ad6bb64,0.9881889763779528
A4f0eca,0.9880952380952381
Ac0dd42,0.9875
Aba96b1,0.9875
A64ed3d,0.9874161073825504
Af390f9,0.987390350877193
A63aa12,0.9868421052631579
A680edc,0.9861111111111112
A4656cb,0.9861111111111112
Ad880d6,0.986046511627907
Ab2a293,0.9859022556390977
A21846d,0.9857954545454546
A780765,0.9851694915254237
A73775f,0.985
A5bfee3,0.9847560975609756
A0e8f48,0.9847328244274809
Aa0a993,0.984375
Aae6df0,0.984375
A4ce2f8,0.9841008771929824
A64d20c,0.9834183673469388
A2a9ea5,0.983274647887324
Aff6f98,0.9832402234636872
Ae1b92f,0.982905982905983
A6e6143,0.982843137254902
Ae6e0df,0.9827586206896551
Aab52e1,0.9821428571428572
A096a41,0.9815340909090909
Af7f070,0.9806985294117647
Af38835,0.9804216867469879
A8b56b9,0.9801851851851852
A60210b,0.9801587301587302
Ae10016,0.9788461538461539
A2ac14e,0.9774096385542168
A4fec46,0.9768211920529801
A2d1148,0.9765815085158152
A7bc2d3,0.9763513513513513
A0d2a71,0.9754901960784315
A2ac41e,0.9751297577854672
A8282d7,0.975
Acd9669,0.9740230905861457
Acd9cbe,0.9730769230769231
A159f57,0.9720744680851063
A8b6332,0.9715909090909092
A20f76b,0.9709302325581395
A07e679,0.9707532051282051
Af3dbec,0.9704301075268817
A26a0d1,0.9701834862385321
Ab408e9,0.9696691176470589
A4974ad,0.9693877551020408
Aaab069,0.96875
A9d1e8c,0.967741935483871
Abeff42,0.9662162162162162
Aebcab9,0.9660596026490067
Afa36f2,0.9660194174757282
Af14abd,0.9659090909090909
A7eee3e,0.9642857142857143
A145642,0.963963963963964
A8ff6ae,0.9637820512820513
Abd887e,0.9625
Acc4dee,0.9622641509433962
A19d854,0.9601063829787234
A84826f,0.9595588235294117
Af5ff4f,0.959375
A23ee88,0.9583333333333334
Ae561e7,0.9583333333333334
A4ff5ec,0.9583333333333334
A583f8f,0.9583333333333333
A3e929e,0.9573170731707317
A27adfb,0.9560185185185186
A86e0b1,0.9559686888454012
A1e8a7e,0.9551886792452831
Aa82eac,0.9537037037037037
A758776,0.9513157894736842
A7906e8,0.9510135135135136
A2f629e,0.9500000000000001
A5466bf,0.9482758620689655
A3bbfd6,0.9470338983050848
A775233,0.9464285714285714
Ad2d94c,0.9444444444444444
Aaa2cfe,0.9440406976744187
Ae4d9bf,0.939695550351288
Ab4033d,0.939516129032258
A1554e9,0.9375
A6b418c,0.9375
A9c9bb9,0.9351415094339623
Ad893bb,0.9329470198675498
A279d4f,0.929245283018868
Acc9329,0.9281496062992126
Afb9c3e,0.9236111111111112
A577ed1,0.9204545454545454
A56bafa,0.9198717948717949
Adbd48d,0.9198113207547169
Aa2c385,0.9181034482758621
A828a39,0.9166666666666666
A67395e,0.9166666666666666
Aba6caa,0.9157072368421052
A8cbf09,0.915
A191419,0.9090909090909092
Af3e452,0.90625
A6709ea,0.9030612244897959
A44702b,0.9027777777777778
A51914b,0.901355421686747
A2b73e4,0.8992063492063492
A3d41c0,0.8977272727272727
Aec91fb,0.8968750000000001
A723435,0.8946428571428571
A6e113b,0.8928571428571428
A4923d3,0.8885135135135136
