Investment Manager Allocator ID,Capital Invested,Current Cost,Unrealized Value,Realized Proceeds,Deal Status,Sector,Geographic Focus
A2e3873,1.0,1.0,1.0,1.0,1.0,1.0,1.0
A96d213,1.0,1.0,1.0,1.0,1.0,1.0,1.0
A372a3f,1.0,1.0,1.0,1.0,1.0,1.0,1.0
A61c681,1.0,1.0,1.0,1.0,1.0,1.0,1.0
A6a2191,1.0,1.0,1.0,1.0,1.0,1.0,1.0
A4f8dbc,1.0,1.0,1.0,1.0,1.0,1.0,1.0
A4d29bc,1.0,1.0,1.0,1.0,1.0,1.0,1.0
A9b5f84,1.0,1.0,1.0,1.0,1.0,1.0,1.0
A44e6c2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
A2f186b,1.0,1.0,1.0,1.0,1.0,1.0,1.0
A15464a,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Ab02df9,0.9976303317535545,1.0,1.0,1.0,1.0,1.0,1.0
A945638,0.9994504488001466,0.9994504488001466,0.9994504488001466,0.9994504488001466,0.9994504488001466,1.0,1.0
Aac22ed,1.0,0.9961240310077519,1.0,1.0,1.0,1.0,1.0
A2d789a,0.9991483321504613,0.9991483321504613,0.9991483321504613,0.9991483321504613,0.9990063875088715,1.0,1.0
Af8a639,1.0,1.0,1.0,1.0,1.0,1.0,0.994661921708185
A08aac2,1.0,0.98989898989899,1.0,1.0,1.0,1.0,1.0
c51f36,0.9973958333333334,0.9973958333333334,0.9973958333333334,0.9973958333333334,0.9973958333333334,1.0,1.0
Ac758cf,1.0,1.0,1.0,1.0,1.0,0.9882352941176471,0.9882352941176471
A0c2722,0.9716981132075472,1.0,1.0,1.0,1.0,1.0,1.0
A4a1f26,0.9905977165883143,0.9966420416386836,0.9966420416386836,0.9905977165883143,0.9959704499664204,1.0,1.0
khepcn,1.0,0.9655172413793104,1.0,1.0,1.0,1.0,1.0
A041a39,0.9932716568544996,0.9988786094757499,0.9988786094757499,0.9758901037286235,0.9988786094757499,1.0,0.9991589571068125
A026529,0.9887036781925885,0.9984846397575423,0.9984846397575423,0.9741011158561785,0.9987601598016256,1.0,1.0
Aded344,0.9848293299620733,0.9962073324905183,0.9962073324905183,0.9848293299620733,0.9962073324905183,1.0,1.0
Aa3bbc4,0.9863636363636363,0.9863636363636363,0.9863636363636363,0.9863636363636363,0.9863636363636363,1.0,1.0
Aa130ea,0.9533546325878595,0.9936102236421726,0.9936102236421726,0.9936102236421726,0.9936102236421726,1.0,1.0
Ad70035,0.9629629629629629,1.0,1.0,0.9629629629629629,1.0,1.0,1.0
A0f94cb,0.9111111111111111,1.0,1.0,1.0,1.0,1.0,1.0
A7b4b7c,1.0,1.0,1.0,0.8984168865435356,1.0,1.0,1.0
Afbe003,0.979381443298969,0.979381443298969,0.979381443298969,0.979381443298969,0.979381443298969,1.0,1.0
