Investment Manager Allocator ID,cond_completeness
18be12,0.8382917466410749
3.95E+42,0.9135220125786163
A01041e,0.9442622950819672
A02306d,0.7835497835497836
A026529,0.9976008012857842
A026fe6,0.8543046357615894
A02cb18,0.9501915708812261
A041a39,0.998191094619666
A08aac2,0.998
A0c2722,0.9945652173913043
A0f94cb,0.9854014598540146
A109e0f,0.8108108108108109
A128c7a,0.9814814814814815
A12c595,0.8281609195402299
A15464a,1.0
A15f96f,0.5555555555555556
A18fded,0.8333333333333334
A2053b4,0.8333333333333334
A24f078,0.8945578231292517
A2d789a,0.9994086339444116
A2e3873,1.0
A2f186b,1.0
A348789,0.6666666666666666
A372a3f,1.0
A3d16f4,0.9581105169340464
A3e342a,0.8551236749116607
A3ecea4,0.9563602599814299
A44e6c2,1.0
A49a079,0.8035087719298246
A4a1f26,0.9966261808367072
A4a62c2,0.8327137546468402
A4d29bc,1.0
A4f8dbc,1.0
A54f085,0.8333333333333334
A586fd2,0.9101398601398601
A5d1a01,0.45703125
A619a99,0.9691358024691358
A61c681,1.0
A6299d5,0.5666666666666667
A65900b,0.8612691466083151
A664a6a,0.945010183299389
A670146,0.8400900900900901
A6941fe,0.9819796291459911
A69ce65,0.9630931458699473
A6a0407,0.9790163934426229
A6a2191,1.0
A6a28da,0.9569120287253142
A6c1ccf,0.9514996809189534
A6f625f,0.8333333333333334
A775492,0.9859180357465246
A7970a7,0.9787828029034059
A7b259c,0.9428571428571428
A7b4b7c,1.0
A7d02b3,0.8420839519503307
A7dd292,0.9008
A86463a,0.6666666666666666
A899074,0.9493670886075949
A8bd477,0.8490048043925875
A8be668,0.9812528577960676
A8d1733,0.8411442483262325
A8e74aa,0.9559252772913018
A91b7d0,0.9161528976572133
A945638,0.9996401259559154
A96d1b3,0.6666666666666666
A96d213,1.0
A97e2ad,0.935
A99a662,0.6574074074074074
A9b5f84,1.0
A9fbabf,0.7248520710059172
Aa130ea,0.9890460491332553
Aa3bbc4,0.9912408759124087
Aa8e77d,0.9656737588652482
Aac22ed,0.9992481203007518
Ab02df9,0.999607535321821
Ab26f76,0.9184191443074692
Ab27df1,0.9548872180451128
Ab9d621,0.9852459016393442
Ac17925,0.9840102334505916
Ac1f496,0.8333333333333334
Ac37569,0.9475113122171945
Ac758cf,0.9962962962962963
Acbde3b,0.7222222222222222
Acc91f3,0.9486944571690334
Acdb9df,0.9736842105263158
Ad137c9,0.6666666666666666
Ad15ca3,0.8333333333333334
Ad647a1,0.9696032972694487
Ad70035,0.9939393939393939
Ad7e703,0.8333333333333334
Ad915f3,0.8333333333333334
Adad2f2,0.7992831541218638
Aded344,0.9955965611239254
Aed3782,0.6666666666666666
Aeedbe6,0.9198473282442748
Af0082f,0.8036249659307714
Af8a639,0.9991416309012876
Af8f7a9,0.9666572875633089
Afbe003,0.9864176570458404
Afc0dbf,0.8808243727598566
c51f36,0.9982363315696648
khepcn,0.9942528735632183
