Fund Allocator ID,uncond_fill,cond_completeness,delta
Ab560d4,0.9987468671679197,0.9983277591973244,-0.00041910797059530047
A8b56b9,0.9987301587301588,0.9985812248758572,-0.00014893385430159167
Ad1697b,0.9987153134635148,0.9988231832892027,0.00010786982568788961
A153d68,0.9985569985569985,0.998,-0.0005569985569985336
94148b,0.998139880952381,0.9982363315696648,9.645061728380533e-05
A51d5e4,0.9976883957466481,0.9976525821596244,-3.5813587023758586e-05
Af5fed4,0.996947496947497,0.9971077368040492,0.0001602398565522245
Afd067a,0.9968183264397072,0.9971890372452565,0.00037071080554929026
A9c9bb9,0.9959568733153639,0.9945652173913043,-0.0013916559240595427
A6f76d1,0.9950738916256158,0.9942528735632183,-0.0008210180623974273
Abacebf,0.9943609022556391,0.9964285714285714,0.0020676691729323293
A4081d6,0.9935261113508848,0.9939455095862765,0.0004193982353917214
A97e381,0.9934469200524247,0.9931740614334471,-0.00027285861897763386
Af390f9,0.9931077694235589,0.9934306569343065,0.0003228875107476048
A64d20c,0.9927113702623906,0.9932088285229203,0.0004974582605296041
Ae27857,0.9920634920634921,0.9925925925925926,0.0005291005291004902
A2ac14e,0.9913941480206541,0.9921568627450981,0.0007627147244440025
A7dba47,0.9913419913419913,0.9942857142857143,0.002943722943723026
Af7f070,0.9905462184873949,0.9891041162227603,-0.0014421022646345927
A124f9d,0.9903691813804174,0.9913762127200862,0.0010070313396688402
Ad880d6,0.9893687707641197,0.9935117599351176,0.004142989170997979
A0e8f48,0.9890948745910578,0.9902912621359223,0.0011963875448645078
A096a41,0.9886363636363636,0.987100241870465,-0.0015361217658986792
A73775f,0.9885714285714285,0.9865696698377169,-0.002001758733711667
Ae1b92f,0.9877899877899877,0.9885877318116976,0.0007977440217098453
Ac33ef9,0.9873015873015873,0.9854014598540146,-0.0019001274475727303
Aa0a993,0.9866071428571429,0.9842794759825327,-0.002327666874610168
Aab52e1,0.9863945578231293,0.9907407407407407,0.004346182917611352
Aba96b1,0.9857142857142858,1.0,0.014285714285714235
A63aa12,0.9849624060150377,0.9833333333333333,-0.0016290726817044243
A680edc,0.9841269841269841,0.9851576994434137,0.0010307153164296201
A86e0b1,0.9835057310595471,0.9833876221498371,-0.00011810890970997967
A5bfee3,0.9825783972125436,0.9838709677419355,0.001292570529391912
Ab408e9,0.9821428571428571,0.9849521203830369,0.0028092632401798268
A4ce2f8,0.981829573934837,1.0,0.018170426065162948
A2a9ea5,0.9808853118712274,0.9953271028037384,0.014441790932510967
A84826f,0.9789915966386554,0.9804878048780488,0.0014962082393933374
A60210b,0.9773242630385487,0.9794871794871794,0.0021629164486307584
A4974ad,0.9766763848396501,0.9792746113989638,0.0025982265593136322
A4fec46,0.9744560075685903,0.9756906077348066,0.0012346001662163486
Afa36f2,0.9722607489597781,0.982200647249191,0.009939898289412885
A0d2a71,0.9719887955182073,0.9735973597359736,0.0016085642177663395
A8282d7,0.9714285714285714,0.9629629629629629,-0.00846560846560851
A20f76b,0.9709302325581396,0.9815195071868583,0.010589274628718726
Acd9cbe,0.9692307692307692,0.962059620596206,-0.007171148634563251
A8b6332,0.9675324675324676,0.972972972972973,0.00544050544050545
A583f8f,0.9675324675324675,0.9641379310344828,-0.0033945364979847126
Af3dbec,0.9662058371735791,0.9608540925266904,-0.005351744646888701
A26a0d1,0.9659239842726082,0.9794952681388013,0.013571283866193107
A8ff6ae,0.9652014652014652,0.9635666347075743,-0.0016348304938909042
Aaab069,0.9642857142857143,0.9607142857142857,-0.0035714285714285587
A9d1e8c,0.9631336405529954,0.978494623655914,0.015360983102918557
A145642,0.9626769626769626,0.9774096385542169,0.014732675877254353
Aebcab9,0.9621570482497636,0.9778516057585825,0.015694557508818985
Abeff42,0.9613899613899614,0.9646017699115044,0.0032118085215430137
A2b73e4,0.9605442176870749,0.9621650026274303,0.0016207849403554464
A7eee3e,0.9591836734693878,0.9763779527559056,0.017194279286517733
Ae561e7,0.9589490968801314,0.9923371647509579,0.03338806787082649
Abd887e,0.9571428571428572,0.975,0.017857142857142794
Acc4dee,0.9568733153638814,0.9748427672955975,0.017969451931716063
A19d854,0.9544072948328267,0.9624413145539906,0.00803401972116391
A3bbfd6,0.9539951573849879,0.9507523939808481,-0.003242763404139759
Af5ff4f,0.9535714285714285,0.9486166007905138,-0.004954827780914717
Ac58438,0.9526842584167425,0.9732142857142857,0.020530027297543163
A23ee88,0.9523809523809524,0.9722222222222222,0.01984126984126977
Aa874b3,0.9523809523809524,0.9722222222222222,0.01984126984126977
A4ff5ec,0.9523809523809524,0.9722222222222222,0.01984126984126977
A87187f,0.9523809523809524,0.9722222222222222,0.01984126984126977
A3e929e,0.9512195121951219,0.9714285714285714,0.02020905923344951
A27adfb,0.9497354497354499,0.9700598802395209,0.020324430504071067
A1e8a7e,0.9487870619946092,0.9450867052023122,-0.003700356792296966
A2f629e,0.9476190476190476,0.9636363636363636,0.01601731601731604
Aa82eac,0.9470899470899471,0.9668174962292609,0.01972754913931385
A5466bf,0.9441707717569787,0.9669260700389105,0.02275529828193179
A7906e8,0.944015444015444,0.9595505617977528,0.01553511778230876
A723435,0.9428571428571428,0.9621749408983451,0.01931779804120226
A6e113b,0.9387755102040816,0.9294117647058824,-0.009363745498199183
A775233,0.9387755102040816,0.9629629629629629,0.024187452758881345
Ad2d94c,0.9365079365079366,0.9550898203592815,0.01858188385134485
Aaa2cfe,0.9360465116279071,1.0,0.06395348837209291
Ae4d9bf,0.9344262295081968,0.922499011466983,-0.011927218041213772
A279d4f,0.9336927223719675,0.9223484848484849,-0.011344237523482681
Ab4033d,0.9308755760368663,0.9362831858407079,0.005407609803841584
A56bafa,0.9304029304029304,0.9478260869565217,0.01742315655359128
Ad893bb,0.9290444654683065,0.9333333333333333,0.004288867865026802
A1554e9,0.9285714285714286,0.95,0.021428571428571352
Acc9329,0.9235095613048369,0.9698558322411533,0.04634627093631649
A577ed1,0.9163059163059163,0.9983277591973244,0.08202184289140813
Afb9c3e,0.9126984126984128,0.9245689655172413,0.01187055281882854
Aec91fb,0.9107142857142857,0.9153225806451613,0.004608294930875556
A82f5de,0.910411622276029,0.908641975308642,-0.0017696469673870174
Aba6caa,0.9093045112781954,0.9452574525745258,0.03595294129633031
Adbd48d,0.9083557951482479,0.9442622950819672,0.035906499933719305
A21e474,0.9069264069264069,0.9065217391304348,-0.00040466779597214675
Aa2c385,0.9064039408866995,0.9447674418604651,0.03836350097376562
A6d0e2b,0.9047619047619048,0.9047619047619048,0.0
A67395e,0.9047619047619048,0.9455782312925171,0.04081632653061229
A828a39,0.9047619047619048,0.9466666666666667,0.04190476190476189
Af017ce,0.9047619047619048,0.9047619047619048,0.0
A8cbf09,0.9028571428571429,0.9066666666666666,0.003809523809523707
A6709ea,0.902332361516035,0.8949843260188087,-0.007348035497226291
A44702b,0.8998778998778999,0.938034188034188,0.03815628815628813
A191419,0.8961038961038961,0.9371069182389937,0.041003022135097655
A3d41c0,0.8961038961038961,0.9381443298969072,0.042040433793011145
Af3e452,0.8928571428571429,0.9423076923076923,0.049450549450549386
A51914b,0.887263339070568,0.9313524590163934,0.04408911994582543
Ae04ceb,0.8781512605042018,0.8733624454148472,-0.004788815089354581
A4923d3,0.8725868725868725,0.918918918918919,0.04633204633204646
Aac1486,0.8710124826629683,0.9235772357723577,0.05256475310938946
Ac472e1,0.8691729323308269,0.8698191933240612,0.0006462609932342822
Ab89eda,0.869047619047619,0.9236111111111112,0.0545634920634922
Aa5bde6,0.8606271777003485,0.8699186991869918,0.009291521486643362
A4d85cc,0.8571428571428571,0.9230769230769231,0.06593406593406603
A947e8c,0.8571428571428571,0.8571428571428571,0.0
Ae66dbf,0.8571428571428571,0.8571428571428571,0.0
Abbf14a,0.8571428571428571,0.8666666666666667,0.009523809523809601
A73be2a,0.8560606060606061,0.9420849420849421,0.08602433602433601
Afd1cbe,0.8489795918367348,0.8022598870056498,-0.04671970483108501
A8d4882,0.8486842105263158,0.9182389937106918,0.06955478318437602
Aadd548,0.8291316526610644,0.8840125391849529,0.05488088652388856
Acac167,0.8285714285714286,0.9285714285714286,0.09999999999999998
A5596ab,0.8285714285714285,0.875,0.046428571428571486
Ae64fa8,0.8285714285714285,0.8787878787878788,0.05021645021645027
Aba444d,0.8285714285714285,0.8787878787878788,0.05021645021645027
A74c64f,0.8236607142857143,0.8769230769230769,0.053262362637362615
A28fbd7,0.8221574344023324,0.8945578231292517,0.07240038872691934
Ab80ef5,0.8173784977908689,0.8159412690089145,-0.0014372287819544027
A5bb3fe,0.8120300751879699,0.8903508771929824,0.07832080200501257
Aa967c0,0.8095238095238094,0.8888888888888888,0.07936507936507942
A2c973b,0.8095238095238094,0.8823529411764706,0.07282913165266114
A80b715,0.807743658210948,0.8847352024922118,0.07699154428126387
A996a8a,0.8055555555555556,0.8495575221238938,0.04400196656833821
Ace087b,0.8046647230320699,0.8548387096774194,0.050173986645349444
Ad5c332,0.7999999999999999,0.9032258064516129,0.10322580645161294
Acc4ce2,0.7999999999999999,0.8833333333333333,0.08333333333333337
A99e32e,0.7987012987012987,0.8333333333333334,0.03463203463203468
Aa12a53,0.7857142857142857,0.8461538461538461,0.06043956043956045
A3fdcff,0.7857142857142857,0.8461538461538461,0.06043956043956045
Af6593f,0.7857142857142857,0.8461538461538461,0.06043956043956045
Ab0a5da,0.7669172932330827,0.8643326039387309,0.09741531070564824
A466539,0.761904761904762,0.8611111111111112,0.09920634920634919
Ab73bb9,0.761904761904762,0.8611111111111112,0.09920634920634919
A073c3d,0.761904761904762,0.8421052631578947,0.08020050125313272
A67c3e6,0.7619047619047619,0.8366013071895425,0.07469654528478065
A9e2889,0.7593984962406015,0.8305084745762712,0.07110997833566968
Af4e6f7,0.7571428571428572,0.8543046357615894,0.09716177861873221
A583186,0.7526652452025585,0.8472906403940886,0.09462539519153013
A41fefa,0.7273809523809524,0.7933425797503467,0.06596162736939437
A5494b2,0.725,0.8156146179401993,0.09061461794019932
A2a4d74,0.7204968944099379,0.7391304347826086,0.01863354037267073
A555d5f,0.7142857142857143,0.8333333333333334,0.11904761904761907
Ab0ee02,0.7142857142857143,0.8333333333333334,0.11904761904761907
A1d6a44,0.7142857142857143,0.8333333333333334,0.11904761904761907
A221849,0.7142857142857143,0.8333333333333334,0.11904761904761907
Ae20eb8,0.7142857142857143,0.8333333333333334,0.11904761904761907
A615cff,0.7142857142857143,0.8333333333333334,0.11904761904761907
Afc9d9d,0.7142857142857143,0.8333333333333334,0.11904761904761907
Aa7f6d4,0.7142857142857143,0.8333333333333334,0.11904761904761907
A6514b0,0.7142857142857143,0.8333333333333334,0.11904761904761907
A23025c,0.7142857142857143,0.8333333333333334,0.11904761904761907
A729d8b,0.7142857142857143,0.8333333333333334,0.11904761904761907
A44bd87,0.7142857142857143,0.8333333333333334,0.11904761904761907
Af5c876,0.7142857142857143,0.8333333333333334,0.11904761904761907
A1bb7a5,0.7142857142857143,0.8333333333333334,0.11904761904761907
A13f39c,0.7142857142857143,0.8333333333333334,0.11904761904761907
A9ffbf3,0.7142857142857143,0.8333333333333334,0.11904761904761907
Af76863,0.7142857142857143,0.8333333333333334,0.11904761904761907
A77a5f6,0.7142857142857143,0.8333333333333334,0.11904761904761907
Ad52755,0.7142857142857143,0.8,0.08571428571428574
A7804fe,0.7142857142857143,0.8333333333333334,0.11904761904761907
A7bcb3d,0.7142857142857143,0.8333333333333334,0.11904761904761907
A6fcde0,0.7142857142857143,0.8333333333333334,0.11904761904761907
A31289e,0.7142857142857143,0.8333333333333334,0.11904761904761907
A32ca97,0.7142857142857143,0.8333333333333334,0.11904761904761907
Afb294f,0.7142857142857143,0.8333333333333334,0.11904761904761907
Abc54d3,0.7142857142857143,0.8333333333333334,0.11904761904761907
A80d33a,0.7142857142857143,0.8333333333333334,0.11904761904761907
A4d752f,0.7142857142857143,0.7377049180327869,0.023419203747072626
Aef37a9,0.7142857142857143,0.8333333333333334,0.11904761904761907
